ID,Image,NameJP,NameEN,Gender,Role,Position,Element,Kick,Control,Technique,Pressure,Physical,Agility,Intelligence,Age Group,School Year
1,https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png,Mamoru Endo,Mark Evans,Male,Player,GK,Mountain,90,97,91,98,105,111,97,Middle School,Grade 8
2,https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png,Shuya Goenji,Axel Blaze,Male,Player,FW,Fire,121,115,105,88,85,85,93,Middle School,Grade 8
5,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png,Heigoro Kabeyama,Jack Wallside,Male,Player,DF,Mountain,90,94,95,102,105,91,114,Middle School,Grade 7
6,https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png,Ichirota Kazemaru,Nathan Swift,Male,Player,DF,Wind,90,94,95,102,105,91,114,Middle School,Grade 8
7,https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png,Ryugo Someoka,Kevin Dragonfly,Male,Player,FW,Forest,119,114,104,85,84,84,92,Middle School,Grade 8
8,https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png,Teppei Kurimatsu,Tod Ironside,Male,Player,DF,Fire,87,91,92,99,104,89,112,Middle School,Grade 7
9,https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png,Shinichi Handa,Steve Grim,Male,Player,MF,Wind,103,111,108,90,90,83,99,Middle School,Grade 8
10,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png,Kusuke Matsuno,Maxwell Carson,Male,Player,FW,Wind,119,114,104,85,84,84,92,Middle School,Grade 8
11,https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png,Ayumu Shorinji,Tim Saunders,Male,Player,MF,Forest,103,111,108,90,90,83,99,Middle School,Grade 7
12,https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png,Sakichi Shishido,Sam Kincaid,Male,Player,MF,Fire,103,111,108,90,90,83,99,Middle School,Grade 7
